,json,hash,add,end,will_be_funded,yes,no,abstain,votes,fund,year
20,"{'hash': 'd05b1535a7787ead2b4550af0bf574db81b669567b40edc90409a591713d61e5', 'name': 'CrowdNode-sep2022-nov2022', 'url': 'crowdnode.io/', 'dw_url': 'https://www.dashcentral.org/p/CrowdNode-sep2022-nov2022', 'dw_url_comments': 'https://www.dashcentral.org/p/CrowdNode-sep2022-nov2022#comments', 'title': 'CROWDNODE-SEP2022-NOV2022', 'date_added': '2022-08-16 21:25:01', 'date_added_human': '8 months ago', 'date_end': '2022-11-09 11:06:10', 'voting_deadline': '2022-09-24 10:16:11', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 290, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 761, 'no': 44, 'abstain': 46, 'order': 21, 'comment_amount': 8, 'owner_username': 'CrowdNode'}",d05b1535a7787ead2b4550af0bf574db81b669567b40edc90409a591713d61e5,2022-08-16 21:25:01,2022-09-24 10:16:11,True,761,44,46,851,290.0,2022
21,"{'hash': '7b08474dd83513a604494451894329bf6a92255c764797340b864b2298f74adc', 'name': 'dash-marketing-hub-5-revised', 'url': 'www.dashcentral.org/p/dash-marketing-hub-5-revised', 'dw_url': 'https://www.dashcentral.org/p/dash-marketing-hub-5-revised', 'dw_url_comments': 'https://www.dashcentral.org/p/dash-marketing-hub-5-revised#comments', 'title': 'Dash Marketing Hub Q3 2022 REVISED', 'date_added': '2022-08-13 22:55:01', 'date_added_human': '8 months ago', 'date_end': '2022-10-10 14:17:11', 'voting_deadline': '2022-09-24 10:16:11', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 100, 'total_payment_count': 2, 'remaining_payment_count': 0, 'yes': 645, 'no': 74, 'abstain': 11, 'order': 22, 'comment_amount': 22, 'owner_username': 'the_desert_lynx'}",7b08474dd83513a604494451894329bf6a92255c764797340b864b2298f74adc,2022-08-13 22:55:01,2022-09-24 10:16:11,True,645,74,11,730,100.0,2022
22,"{'hash': '650d7605c3dac5df6d696e1337528b3ced11b85baa2eefca9d9496fbe96e7362', 'name': 'DCG-Sup-Fund-July22', 'url': 'www.dashcentral.org/p/DCGSUPJuly22', 'dw_url': 'https://www.dashcentral.org/p/DCG-Sup-Fund-July22', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-Sup-Fund-July22#comments', 'title': 'DCG July 26th Supplemental Funding Proposal', 'date_added': '2022-07-21 04:20:01', 'date_added_human': '9 months ago', 'date_end': '2022-08-11 13:45:31', 'voting_deadline': '2022-08-25 05:37:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 345, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 559, 'no': 35, 'abstain': 18, 'order': 23, 'comment_amount': 8, 'owner_username': 'glennaustin'}",650d7605c3dac5df6d696e1337528b3ced11b85baa2eefca9d9496fbe96e7362,2022-07-21 04:20:01,2022-08-25 05:37:39,True,559,35,18,612,345.0,2022
23,"{'hash': '16c405467ad26a64079d147e1986ff02def98c3ea29406a94a14addd6c9a3b3c', 'name': 'dash-incubator-2022-q3', 'url': 'www.dashcentral.org/p/dash-incubator-2022-q3', 'dw_url': 'https://www.dashcentral.org/p/dash-incubator-2022-q3', 'dw_url_comments': 'https://www.dashcentral.org/p/dash-incubator-2022-q3#comments', 'title': 'Dash Incubator 2022 Q3', 'date_added': '2022-07-12 04:40:02', 'date_added_human': '9 months ago', 'date_end': '2022-10-10 00:53:38', 'voting_deadline': '2022-08-25 05:37:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 900, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 710, 'no': 92, 'abstain': 26, 'order': 24, 'comment_amount': 17, 'owner_username': 'rion'}",16c405467ad26a64079d147e1986ff02def98c3ea29406a94a14addd6c9a3b3c,2022-07-12 04:40:02,2022-08-25 05:37:39,True,710,92,26,828,900.0,2022
24,"{'hash': '6f5da004e0b99d0dc5001ba65a39a5a7d54aba33d065400fcaf4c0df23a87315', 'name': 'BrazilQ42022', 'url': 'www.dashcentral.org/p/DashBrazilQ42022', 'dw_url': 'https://www.dashcentral.org/p/BrazilQ42022', 'dw_url_comments': 'https://www.dashcentral.org/p/BrazilQ42022#comments', 'title': 'Brazil Community - Crypto City + Partnerships & Business Dev. + Events +   Social Media Marketing ', 'date_added': '2022-07-09 03:05:01', 'date_added_human': '9 months ago', 'date_end': '2022-11-08 19:00:08', 'voting_deadline': '2022-08-25 05:37:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 55, 'total_payment_count': 4, 'remaining_payment_count': 0, 'yes': 724, 'no': 109, 'abstain': 32, 'order': 25, 'comment_amount': 10, 'owner_username': 'BrazilCommunity'}",6f5da004e0b99d0dc5001ba65a39a5a7d54aba33d065400fcaf4c0df23a87315,2022-07-09 03:05:01,2022-08-25 05:37:39,True,724,109,32,865,55.0,2022
25,"{'hash': '80a23716a6b2888c272911a6bc9ebd2b972c5512fc664679cf731b39a233ec32', 'name': 'DCG-Infra-Aug-Sept-2022', 'url': 'www.dashcentral.org/p/DCG-Infra-Aug-Sept-2022', 'dw_url': 'https://www.dashcentral.org/p/DCG-Infra-Aug-Sept-2022', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-Infra-Aug-Sept-2022#comments', 'title': 'Dash Core Group Infrastructure Aug-Sept 2022', 'date_added': '2022-07-05 18:55:01', 'date_added_human': '9 months ago', 'date_end': '2022-09-10 02:43:17', 'voting_deadline': '2022-08-25 05:37:39', 'voting_deadline_human': 'passed', 'will_be_funded': False, 'remaining_yes_votes_until_funding': '387', 'in_next_budget': False, 'monthly_amount': 459, 'total_payment_count': 2, 'remaining_payment_count': 0, 'yes': 0, 'no': 0, 'abstain': 0, 'order': 26, 'comment_amount': 6, 'owner_username': 'glennaustin'}",80a23716a6b2888c272911a6bc9ebd2b972c5512fc664679cf731b39a233ec32,2022-07-05 18:55:01,2022-08-25 05:37:39,False,0,0,0,0,459.0,2022
26,"{'hash': '5df0e7e52ed79460e67e6b05dba916e9293e16fc0128466dade25ca8a145f2df', 'name': 'DCG-Comp-Jun22-Supp', 'url': 'www.dashcentral.org/p/dcg-comp-jun22-supp', 'dw_url': 'https://www.dashcentral.org/p/DCG-Comp-Jun22-Supp', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-Comp-Jun22-Supp#comments', 'title': 'Dash Core Group Compensation Supplemental July', 'date_added': '2022-06-17 14:35:01', 'date_added_human': '10 months ago', 'date_end': '2022-07-12 04:18:40', 'voting_deadline': '2022-07-26 00:59:07', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 703, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 609, 'no': 9, 'abstain': 4, 'order': 27, 'comment_amount': 11, 'owner_username': 'glennaustin'}",5df0e7e52ed79460e67e6b05dba916e9293e16fc0128466dade25ca8a145f2df,2022-06-17 14:35:01,2022-07-26 00:59:07,True,609,9,4,622,703.0,2022
27,"{'hash': '5a45695d90f1566775f6e1037218ab832b59914ca41d27d281018fcb97f703e0', 'name': 'Sec-Audit-Jul22', 'url': 'www.dashcentral.org/p/Sec-Audit-Jul22', 'dw_url': 'https://www.dashcentral.org/p/Sec-Audit-Jul22', 'dw_url_comments': 'https://www.dashcentral.org/p/Sec-Audit-Jul22#comments', 'title': 'Dash Core Group Security Audits', 'date_added': '2022-06-07 18:05:01', 'date_added_human': '10 months ago', 'date_end': '2022-07-12 00:28:21', 'voting_deadline': '2022-07-26 00:59:07', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 459, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 652, 'no': 23, 'abstain': 17, 'order': 28, 'comment_amount': 7, 'owner_username': 'glennaustin'}",5a45695d90f1566775f6e1037218ab832b59914ca41d27d281018fcb97f703e0,2022-06-07 18:05:01,2022-07-26 00:59:07,True,652,23,17,692,459.0,2022
28,"{'hash': 'a41f0de49f46f30dcd21187381e71783f4134ac1c4d0511881104f19393044ab', 'name': 'DCG-COMP-JUL-SEPT22', 'url': 'www.dashcentral.org/p/DCG-COMP-Jul-Sept22', 'dw_url': 'https://www.dashcentral.org/p/DCG-COMP-JUL-SEPT22', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-COMP-JUL-SEPT22#comments', 'title': 'Dash Core Group Compensation July-September', 'date_added': '2022-06-07 17:20:02', 'date_added_human': '10 months ago', 'date_end': '2022-09-09 15:07:07', 'voting_deadline': '2022-07-26 00:59:07', 'voting_deadline_human': 'passed', 'will_be_funded': False, 'remaining_yes_votes_until_funding': '387', 'in_next_budget': False, 'monthly_amount': 2296, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 0, 'no': 0, 'abstain': 0, 'order': 29, 'comment_amount': 11, 'owner_username': 'glennaustin'}",a41f0de49f46f30dcd21187381e71783f4134ac1c4d0511881104f19393044ab,2022-06-07 17:20:02,2022-07-26 00:59:07,False,0,0,0,0,2296.0,2022
29,"{'hash': '5c7eed9016bbfbca0e0831e9c23f0010edd72ebb9a091a03b7d8fc0cb3184b12', 'name': 'DashElSalvador', 'url': 'www.dashcentral.org/p/DashElSalvador', 'dw_url': 'https://www.dashcentral.org/p/DashElSalvador', 'dw_url_comments': 'https://www.dashcentral.org/p/DashElSalvador#comments', 'title': 'Dash El Salvador  :Education - Merchants - Remittances', 'date_added': '2022-06-06 01:45:01', 'date_added_human': '10 months ago', 'date_end': '2022-09-09 14:30:24', 'voting_deadline': '2022-07-26 00:59:07', 'voting_deadline_human': 'passed', 'will_be_funded': False, 'remaining_yes_votes_until_funding': '387', 'in_next_budget': False, 'monthly_amount': 45, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 0, 'no': 0, 'abstain': 0, 'order': 30, 'comment_amount': 12, 'owner_username': 'exitofinanciero2014'}",5c7eed9016bbfbca0e0831e9c23f0010edd72ebb9a091a03b7d8fc0cb3184b12,2022-06-06 01:45:01,2022-07-26 00:59:07,False,0,0,0,0,45.0,2022
