,json,hash,add,end,will_be_funded,yes,no,abstain,votes,fund,year
86,"{'hash': '49023748d80cb24987f5424858c38938acc2ac3d4e16662d6f291d4871904138', 'name': 'DashCoreGroupBizDevJuneJuly', 'url': 'www.dashcentral.org/p/DCGbizdevjunejuly', 'dw_url': 'https://www.dashcentral.org/p/DashCoreGroupBizDevJuneJuly', 'dw_url_comments': 'https://www.dashcentral.org/p/DashCoreGroupBizDevJuneJuly#comments', 'title': 'Dash Core Group Business Development June - July', 'date_added': '2021-06-10 23:40:01', 'date_added_human': '1 year ago', 'date_end': '2021-08-11 23:05:08', 'voting_deadline': '2021-06-28 12:38:11', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 247, 'total_payment_count': 2, 'remaining_payment_count': 0, 'yes': 727, 'no': 96, 'abstain': 1, 'order': 37, 'comment_amount': 12, 'owner_username': 'glennaustin'}",49023748d80cb24987f5424858c38938acc2ac3d4e16662d6f291d4871904138,2021-06-10 23:40:01,2021-06-28 12:38:11,True,727,96,1,824,247.0,2021
87,"{'hash': 'a5469eabc24db4203f632eb869870071846195d25b5652cb6a366970296191c2', 'name': 'DIF-SUPPLEMENTAL-FUNDING-May-2021', 'url': 'dashcentral.org/p/DIF-SUPPLEMENTAL-FUNDING-May-2021', 'dw_url': 'https://www.dashcentral.org/p/DIF-SUPPLEMENTAL-FUNDING-May-2021', 'dw_url_comments': 'https://www.dashcentral.org/p/DIF-SUPPLEMENTAL-FUNDING-May-2021#comments', 'title': 'DIF Supplemental Funding May 2021', 'date_added': '2021-05-20 19:45:01', 'date_added_human': '1 year ago', 'date_end': '2021-06-13 00:14:34', 'voting_deadline': '2021-05-29 07:59:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 475, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 743, 'no': 40, 'abstain': 3, 'order': 38, 'comment_amount': 3, 'owner_username': 'TheDIF'}",a5469eabc24db4203f632eb869870071846195d25b5652cb6a366970296191c2,2021-05-20 19:45:01,2021-05-29 07:59:39,True,743,40,3,786,475.0,2021
88,"{'hash': '7c57a9cfba12542509ce5f9ef4f038af592a8e0c3e7b8def059da9773a3bff8d', 'name': 'protocol-developer-incentives-fund', 'url': 'www.dashcentral.org/p/protocol-developer-incentives-fund?txtsig=H%2F0ZzJUquU1BMtmqQNOp7huMm%2BDJ7RYPmC8JUe04SPaRSFKJg5RnOHrNiLJU5Yo%2FP3V3%2FdfBpG%2BDfATm8TP20hQ%3D', 'dw_url': 'https://www.dashcentral.org/p/protocol-developer-incentives-fund', 'dw_url_comments': 'https://www.dashcentral.org/p/protocol-developer-incentives-fund#comments', 'title': 'Protocol Developer Incentives Fund', 'date_added': '2021-05-16 23:45:01', 'date_added_human': '1 year ago', 'date_end': '2021-08-11 13:17:49', 'voting_deadline': '2021-05-29 07:59:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 247, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 858, 'no': 211, 'abstain': 6, 'order': 39, 'comment_amount': 57, 'owner_username': 'andyfreer2020'}",7c57a9cfba12542509ce5f9ef4f038af592a8e0c3e7b8def059da9773a3bff8d,2021-05-16 23:45:01,2021-05-29 07:59:39,True,858,211,6,1075,247.0,2021
89,"{'hash': '4ae946bfa3cdc78ff096d6c920d5462bb224a09ec44c5dfcf1cd0acb45f11254', 'name': 'dash-incubator-2021-q2', 'url': 'www.dashcentral.org/p/dash-incubator-2021-q2?txtsig=H2xcorMNnttAs6wDMYqVCKlKPlECI%2FvrBQtiyAVQsPhTF6pZlYA4qDw1EIpne8UGzowMe4luKxI%2F2jrkHRFYpV8%3D', 'dw_url': 'https://www.dashcentral.org/p/dash-incubator-2021-q2', 'dw_url_comments': 'https://www.dashcentral.org/p/dash-incubator-2021-q2#comments', 'title': 'Dash Incubator 2021-Q2', 'date_added': '2021-05-16 00:25:02', 'date_added_human': '1 year ago', 'date_end': '2021-08-11 12:56:10', 'voting_deadline': '2021-05-29 07:59:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 494, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 1009, 'no': 30, 'abstain': 1, 'order': 40, 'comment_amount': 8, 'owner_username': 'andyfreer2020'}",4ae946bfa3cdc78ff096d6c920d5462bb224a09ec44c5dfcf1cd0acb45f11254,2021-05-16 00:25:02,2021-05-29 07:59:39,True,1009,30,1,1040,494.0,2021
90,"{'hash': 'e5886268cc25001934422f81c1e2459c843de5b737de3839a7ef07604e611c5f', 'name': 'Dash-Core-Group-Bug-Bounty-June', 'url': 'www.dashcentral.org/p/DCG_Infra_Bug_Bounty', 'dw_url': 'https://www.dashcentral.org/p/Dash-Core-Group-Bug-Bounty-June', 'dw_url_comments': 'https://www.dashcentral.org/p/Dash-Core-Group-Bug-Bounty-June#comments', 'title': 'Dash Core Group Bug Bounty June 2021', 'date_added': '2021-05-13 19:20:02', 'date_added_human': '1 year ago', 'date_end': '2021-06-12 21:21:10', 'voting_deadline': '2021-05-29 07:59:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 75, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 899, 'no': 28, 'abstain': 3, 'order': 41, 'comment_amount': 5, 'owner_username': 'glennaustin'}",e5886268cc25001934422f81c1e2459c843de5b737de3839a7ef07604e611c5f,2021-05-13 19:20:02,2021-05-29 07:59:39,True,899,28,3,930,75.0,2021
91,"{'hash': '936073327369504d0d927440c7983da83279915d1b52b7ca5fb534a2c0be2ea1', 'name': 'DashCoreGroupLegalJune', 'url': 'www.dashcentral.org/p/DCG_Legal_June', 'dw_url': 'https://www.dashcentral.org/p/DashCoreGroupLegalJune', 'dw_url_comments': 'https://www.dashcentral.org/p/DashCoreGroupLegalJune#comments', 'title': 'Dash Core Group Legal June 2021', 'date_added': '2021-05-13 18:10:01', 'date_added_human': '1 year ago', 'date_end': '2021-06-12 21:28:55', 'voting_deadline': '2021-05-29 07:59:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 419, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 831, 'no': 74, 'abstain': 0, 'order': 42, 'comment_amount': 5, 'owner_username': 'glennaustin'}",936073327369504d0d927440c7983da83279915d1b52b7ca5fb534a2c0be2ea1,2021-05-13 18:10:01,2021-05-29 07:59:39,True,831,74,0,905,419.0,2021
92,"{'hash': '2553dc2bcacc0b7d271f3c829ce5e4004a00b68d71b628c81d2de018b57fa370', 'name': 'DIF-ONGOING-FUNDING-Q2-2021', 'url': 'www.dashcentral.org/p/DIF-ONGOING-FUNDING-Q2-2021', 'dw_url': 'https://www.dashcentral.org/p/DIF-ONGOING-FUNDING-Q2-2021', 'dw_url_comments': 'https://www.dashcentral.org/p/DIF-ONGOING-FUNDING-Q2-2021#comments', 'title': 'DIF Ongoing Funding Q2 2021', 'date_added': '2021-05-13 16:25:01', 'date_added_human': '1 year ago', 'date_end': '2021-08-11 12:17:25', 'voting_deadline': '2021-05-29 07:59:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 450, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 829, 'no': 208, 'abstain': 1, 'order': 43, 'comment_amount': 7, 'owner_username': 'TheDIF'}",2553dc2bcacc0b7d271f3c829ce5e4004a00b68d71b628c81d2de018b57fa370,2021-05-13 16:25:01,2021-05-29 07:59:39,True,829,208,1,1038,450.0,2021
93,"{'hash': 'b08d7684afe5a6e5aae48e41cf6bcea7a6dfa04b03ffd38001942652170a685a', 'name': 'DashCoreGroup_Comp_June_Aug', 'url': 'www.dashcentral.org/p/DCG_Comp_June_Aug', 'dw_url': 'https://www.dashcentral.org/p/DashCoreGroup_Comp_June_Aug', 'dw_url_comments': 'https://www.dashcentral.org/p/DashCoreGroup_Comp_June_Aug#comments', 'title': 'Dash Core Group Compensation June - August', 'date_added': '2021-05-13 16:05:01', 'date_added_human': '1 year ago', 'date_end': '2021-08-11 12:09:07', 'voting_deadline': '2021-05-29 07:59:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 2472, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 843, 'no': 114, 'abstain': 8, 'order': 44, 'comment_amount': 5, 'owner_username': 'glennaustin'}",b08d7684afe5a6e5aae48e41cf6bcea7a6dfa04b03ffd38001942652170a685a,2021-05-13 16:05:01,2021-05-29 07:59:39,True,843,114,8,965,2472.0,2021
94,"{'hash': '53a0767ddf9d73e8aaef3146c0b98d01c60744cfa82cb5bffcf75a5aed0ef5b8', 'name': 'dash-mall-and-parking', 'url': 'www.dashcentral.org/p/Dashmallparking', 'dw_url': 'https://www.dashcentral.org/p/dash-mall-and-parking', 'dw_url_comments': 'https://www.dashcentral.org/p/dash-mall-and-parking#comments', 'title': 'DASH MALL AND PARKING UPDATE:+3500 PAYMENTS FOR PARKING SERVICE WITH DASH IN 1 MONTH ', 'date_added': '2021-05-12 19:15:01', 'date_added_human': '1 year ago', 'date_end': '2021-10-10 02:25:35', 'voting_deadline': '2021-05-29 07:59:39', 'voting_deadline_human': 'passed', 'will_be_funded': False, 'remaining_yes_votes_until_funding': '24', 'in_next_budget': False, 'monthly_amount': 45, 'total_payment_count': 5, 'remaining_payment_count': 2, 'yes': 652, 'no': 289, 'abstain': 55, 'order': 45, 'comment_amount': 56, 'owner_username': 'yoanacastillo'}",53a0767ddf9d73e8aaef3146c0b98d01c60744cfa82cb5bffcf75a5aed0ef5b8,2021-05-12 19:15:01,2021-05-29 07:59:39,False,652,289,55,996,45.0,2021
95,"{'hash': '719e3094a6266e8a385676018466bda28e16b9518685eeaa88f17b1574e53584', 'name': 'DashNext2021', 'url': 'www.dashcentral.org/p/dash-next-bizdevprmediaadoptionintegrat2', 'dw_url': 'https://www.dashcentral.org/p/DashNext2021', 'dw_url_comments': 'https://www.dashcentral.org/p/DashNext2021#comments', 'title': 'Dash NEXT: BizDev/PR/Media/Adoption/Integrations/UseCases 2021-2', 'date_added': '2021-05-12 07:45:02', 'date_added_human': '1 year ago', 'date_end': '2021-09-10 07:07:31', 'voting_deadline': '2021-05-29 07:59:39', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 75, 'total_payment_count': 4, 'remaining_payment_count': 0, 'yes': 830, 'no': 54, 'abstain': 7, 'order': 46, 'comment_amount': 7, 'owner_username': 'Dash-Next'}",719e3094a6266e8a385676018466bda28e16b9518685eeaa88f17b1574e53584,2021-05-12 07:45:02,2021-05-29 07:59:39,True,830,54,7,891,75.0,2021
96,"{'hash': '4dda858531c626eb6cd3c5b4c3da3406845c6e31482422f8c28ffbd16ce6aa2a', 'name': 'DIF-SUPPLEMENTAL-FUNDING-Apr-2021', 'url': 'www.dashcentral.org/p/DIF-SUPPLEMENTAL-FUNDING-Apr-2021', 'dw_url': 'https://www.dashcentral.org/p/DIF-SUPPLEMENTAL-FUNDING-Apr-2021', 'dw_url_comments': 'https://www.dashcentral.org/p/DIF-SUPPLEMENTAL-FUNDING-Apr-2021#comments', 'title': 'DIF Supplemental Funding Apr 2021', 'date_added': '2021-04-14 10:50:01', 'date_added_human': '2 years ago', 'date_end': '2021-05-13 14:03:45', 'voting_deadline': '2021-04-29 03:21:07', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 450, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 688, 'no': 57, 'abstain': 4, 'order': 47, 'comment_amount': 4, 'owner_username': 'TheDIF'}",4dda858531c626eb6cd3c5b4c3da3406845c6e31482422f8c28ffbd16ce6aa2a,2021-04-14 10:50:01,2021-04-29 03:21:07,True,688,57,4,749,450.0,2021
97,"{'hash': 'f08a87450001c4bf299b56c7ca2d8ccfb65a7dde1dfd2c5cdf04f231a17fd80d', 'name': 'Dash-Help-2021Q2', 'url': 'www.dashcentral.org/p/Dash-Help-2021Q2', 'dw_url': 'https://www.dashcentral.org/p/Dash-Help-2021Q2', 'dw_url_comments': 'https://www.dashcentral.org/p/Dash-Help-2021Q2#comments', 'title': 'Dash Help Q2 2021 Support & Training Center + Education on YouTube and Social media + CX improvement + Strategic and operational planning + BTL Marketing enhance with Data Driven approach + Dash Retail POS introduction + Dash injection to Venezuelan market', 'date_added': '2021-04-10 00:00:02', 'date_added_human': '2 years ago', 'date_end': '2021-07-12 03:14:46', 'voting_deadline': '2021-04-29 03:21:07', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': False, 'monthly_amount': 30, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 672, 'no': 25, 'abstain': 5, 'order': 48, 'comment_amount': 0, 'owner_username': 'giorgiom92'}",f08a87450001c4bf299b56c7ca2d8ccfb65a7dde1dfd2c5cdf04f231a17fd80d,2021-04-10 00:00:02,2021-04-29 03:21:07,True,672,25,5,702,30.0,2021
98,"{'hash': '39c9987920867a1dc4af4bc31f5eb23428de97ade39892457e36be1ec253080f', 'name': 'dash-text-q2-2021', 'url': 'www.dashcentral.org/p/dash-text-q2-2021', 'dw_url': 'https://www.dashcentral.org/p/dash-text-q2-2021', 'dw_url_comments': 'https://www.dashcentral.org/p/dash-text-q2-2021#comments', 'title': 'Dash Text Q2 2021 - Dasherpay.com Launch and Expansion (work with core) - Dash Text Points feature - New promos and discounts with  -  and much more!', 'date_added': '2021-04-08 14:20:02', 'date_added_human': '2 years ago', 'date_end': '2021-07-12 02:45:49', 'voting_deadline': '2021-04-29 03:21:07', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': False, 'monthly_amount': 39, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 663, 'no': 24, 'abstain': 0, 'order': 49, 'comment_amount': 2, 'owner_username': 'DashText'}",39c9987920867a1dc4af4bc31f5eb23428de97ade39892457e36be1ec253080f,2021-04-08 14:20:02,2021-04-29 03:21:07,True,663,24,0,687,39.0,2021
99,"{'hash': 'b01b90e0b825226002688bd18b0c4828464fdeebfe3d96e8898a1ebed868fc71', 'name': 'Dash-delivery-service', 'url': 'www.dashcentral.org/p/dashdeliveryservice', 'dw_url': 'https://www.dashcentral.org/p/Dash-delivery-service', 'dw_url_comments': 'https://www.dashcentral.org/p/Dash-delivery-service#comments', 'title': 'Dash Delivery Service: 15 New Cities with Dash + Dash Sales 2x + Supermarket and Pharmacy with Dash Retail POS +  Merchants training team with Deliveries', 'date_added': '2021-04-07 17:30:02', 'date_added_human': '2 years ago', 'date_end': '2021-09-09 16:59:20', 'voting_deadline': '2021-04-29 03:21:07', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 20, 'total_payment_count': 5, 'remaining_payment_count': 0, 'yes': 721, 'no': 44, 'abstain': 43, 'order': 50, 'comment_amount': 10, 'owner_username': 'yoanacastillo'}",b01b90e0b825226002688bd18b0c4828464fdeebfe3d96e8898a1ebed868fc71,2021-04-07 17:30:02,2021-04-29 03:21:07,True,721,44,43,808,20.0,2021
100,"{'hash': 'd57348c5e9d50a94ee6a15134bb6cd308e7718aa861593457e919d7a28e6057c', 'name': 'DashBrazilQ22021', 'url': 'www.dashcentral.org/p/DashBrazilQ22021', 'dw_url': 'https://www.dashcentral.org/p/DashBrazilQ22021', 'dw_url_comments': 'https://www.dashcentral.org/p/DashBrazilQ22021#comments', 'title': 'Dash BRAZIL 2021 - Business Dev. & Partnerships  + YouTube Channel + Podcast + Social Media Management', 'date_added': '2021-04-06 21:35:02', 'date_added_human': '2 years ago', 'date_end': '2021-08-10 20:59:08', 'voting_deadline': '2021-04-29 03:21:08', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 59, 'total_payment_count': 4, 'remaining_payment_count': 0, 'yes': 753, 'no': 51, 'abstain': 28, 'order': 1, 'comment_amount': 3, 'owner_username': 'BrazilCommunity'}",d57348c5e9d50a94ee6a15134bb6cd308e7718aa861593457e919d7a28e6057c,2021-04-06 21:35:02,2021-04-29 03:21:08,True,753,51,28,832,59.0,2021
101,"{'hash': 'e5f65fc06bd094b496e2e617bd0c1e68ac168208b22e99a0228d3c0a9c260485', 'name': 'DashElectrumApr2021', 'url': 'www.dashcentral.org/p/DashElectrumApr2021', 'dw_url': 'https://www.dashcentral.org/p/DashElectrumApr2021', 'dw_url_comments': 'https://www.dashcentral.org/p/DashElectrumApr2021#comments', 'title': 'Dash Electrum Support and Development Apr 2021', 'date_added': '2021-04-05 11:55:01', 'date_added_human': '2 years ago', 'date_end': '2021-07-12 01:05:54', 'voting_deadline': '2021-04-29 03:21:08', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': False, 'monthly_amount': 26, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 963, 'no': 15, 'abstain': 25, 'order': 2, 'comment_amount': 8, 'owner_username': 'akhavr'}",e5f65fc06bd094b496e2e617bd0c1e68ac168208b22e99a0228d3c0a9c260485,2021-04-05 11:55:01,2021-04-29 03:21:08,True,963,15,25,1003,26.0,2021
102,"{'hash': '6bb785e8c53610ccfd3104715b735c5e2acbc851c2a38614795a3409dadf0bab', 'name': 'DIF-SUPPLEMENTAL-FUNDING-Mar-2021', 'url': 'www.dashcentral.org/p/DIF-SUPPLEMENTAL-FUNDING-Mar-2021', 'dw_url': 'https://www.dashcentral.org/p/DIF-SUPPLEMENTAL-FUNDING-Mar-2021', 'dw_url_comments': 'https://www.dashcentral.org/p/DIF-SUPPLEMENTAL-FUNDING-Mar-2021#comments', 'title': 'DIF Supplemental Funding Mar 2021', 'date_added': '2021-03-14 23:10:01', 'date_added_human': '2 years ago', 'date_end': '2021-04-13 06:23:24', 'voting_deadline': '2021-03-29 22:42:36', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 350, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 702, 'no': 40, 'abstain': 0, 'order': 3, 'comment_amount': 12, 'owner_username': 'TheDIF'}",6bb785e8c53610ccfd3104715b735c5e2acbc851c2a38614795a3409dadf0bab,2021-03-14 23:10:01,2021-03-29 22:42:36,True,702,40,0,742,350.0,2021
103,"{'hash': '069b5d6d4ddf835ad405f935385338210dfa2c590679f47d0b6e75fba762935f', 'name': 'DCG_Biz_Dev_EndMar_EndApr', 'url': 'www.dashcentral.org/p/DCGbizdevEndMarEndApr', 'dw_url': 'https://www.dashcentral.org/p/DCG_Biz_Dev_EndMar_EndApr', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG_Biz_Dev_EndMar_EndApr#comments', 'title': 'Dash Core Group Business Development (End of Mar - End of Apr)', 'date_added': '2021-03-09 22:40:01', 'date_added_human': '2 years ago', 'date_end': '2021-05-12 23:29:15', 'voting_deadline': '2021-03-29 22:42:36', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 266, 'total_payment_count': 2, 'remaining_payment_count': 0, 'yes': 771, 'no': 61, 'abstain': 10, 'order': 4, 'comment_amount': 13, 'owner_username': 'glennaustin'}",069b5d6d4ddf835ad405f935385338210dfa2c590679f47d0b6e75fba762935f,2021-03-09 22:40:01,2021-03-29 22:42:36,True,771,61,10,842,266.0,2021
104,"{'hash': 'b7acf579f6d090cad1c891dd8003784aeaa7d5b32a7ba67d99fa8b61a70d8dc3', 'name': 'DashDevAcademy', 'url': 'www.dashcentral.org/p/DashDevAcademyS12021', 'dw_url': 'https://www.dashcentral.org/p/DashDevAcademy', 'dw_url_comments': 'https://www.dashcentral.org/p/DashDevAcademy#comments', 'title': 'Dash Dev Academy by BrazilCommunity  - Educational Website | Dash Platform', 'date_added': '2021-03-05 22:35:01', 'date_added_human': '2 years ago', 'date_end': '2021-05-12 22:02:12', 'voting_deadline': '2021-03-29 22:42:36', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 75, 'total_payment_count': 2, 'remaining_payment_count': 0, 'yes': 780, 'no': 75, 'abstain': 0, 'order': 5, 'comment_amount': 24, 'owner_username': 'BrazilCommunity'}",b7acf579f6d090cad1c891dd8003784aeaa7d5b32a7ba67d99fa8b61a70d8dc3,2021-03-05 22:35:01,2021-03-29 22:42:36,True,780,75,0,855,75.0,2021
105,"{'hash': 'c285c3c729be1a75f0d8544defdac323163b6f315a404ee211588e65fe2ad109', 'name': 'renDash-integration-liquidity-mining', 'url': 'app.dashnexus.org/proposals/rendash-integration--liquidity-mining-campaign/overview', 'dw_url': 'https://www.dashcentral.org/p/renDash-integration-liquidity-mining', 'dw_url_comments': 'https://www.dashcentral.org/p/renDash-integration-liquidity-mining#comments', 'title': 'renDash integration and liquidity mining campaign, Dash on DEX', 'date_added': '2021-02-18 08:45:01', 'date_added_human': '2 years ago', 'date_end': '2021-03-14 01:05:47', 'voting_deadline': '2021-02-27 18:04:04', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 333.35, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 758, 'no': 32, 'abstain': 0, 'order': 6, 'comment_amount': 30, 'owner_username': 'Dash-DeFi'}",c285c3c729be1a75f0d8544defdac323163b6f315a404ee211588e65fe2ad109,2021-02-18 08:45:01,2021-02-27 18:04:04,True,758,32,0,790,333.35,2021
106,"{'hash': 'e2bc78b0811c95ce63913475197d3b4bba9a78279d43505726f53185db7b95eb', 'name': 'DIF-ONGOING-FUNDING-Q1-2021', 'url': 'www.dashcentral.org/p/DIF-ONGOING-FUNDING-Q1-2021', 'dw_url': 'https://www.dashcentral.org/p/DIF-ONGOING-FUNDING-Q1-2021', 'dw_url_comments': 'https://www.dashcentral.org/p/DIF-ONGOING-FUNDING-Q1-2021#comments', 'title': 'DIF Ongoing Funding Q1 2021', 'date_added': '2021-02-11 15:35:02', 'date_added_human': '2 years ago', 'date_end': '2021-05-12 13:28:49', 'voting_deadline': '2021-02-27 18:04:04', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 500, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 804, 'no': 60, 'abstain': 16, 'order': 7, 'comment_amount': 14, 'owner_username': 'TheDIF'}",e2bc78b0811c95ce63913475197d3b4bba9a78279d43505726f53185db7b95eb,2021-02-11 15:35:02,2021-02-27 18:04:04,True,804,60,16,880,500.0,2021
107,"{'hash': '259e24421ebead6372f176be07d3ce68736f89bfda4be2580211adc33ba2cd21', 'name': 'dash-incubator-2021-q1', 'url': 'www.dashcentral.org/p/dash-incubator-2021-q1?txtsig=IEEFVDMBVU9BEjAJ9UZgiXxQBDH30xv5Jqpd4DLdU7ZvYZEnwiyEyHIEXyFvZhlumj37nqNAFRqiomGwHbQ31Lk%3D', 'dw_url': 'https://www.dashcentral.org/p/dash-incubator-2021-q1', 'dw_url_comments': 'https://www.dashcentral.org/p/dash-incubator-2021-q1#comments', 'title': 'Dash Incubator 2021-Q1', 'date_added': '2021-02-10 15:25:01', 'date_added_human': '2 years ago', 'date_end': '2021-05-12 12:56:36', 'voting_deadline': '2021-02-27 18:04:04', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 422, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 954, 'no': 11, 'abstain': 0, 'order': 8, 'comment_amount': 18, 'owner_username': 'andyfreer2020'}",259e24421ebead6372f176be07d3ce68736f89bfda4be2580211adc33ba2cd21,2021-02-10 15:25:01,2021-02-27 18:04:04,True,954,11,0,965,422.0,2021
108,"{'hash': 'f46fb123aba261765b17fca0c06e50cb87d468e43be09e43746730309a883f89', 'name': 'official-dash-newsroom-pr--communication', 'url': 'app.dashnexus.org/proposals/official-dash-newsroom-pr--communications--outreach/overview', 'dw_url': 'https://www.dashcentral.org/p/official-dash-newsroom-pr--communication', 'dw_url_comments': 'https://www.dashcentral.org/p/official-dash-newsroom-pr--communication#comments', 'title': 'Official Dash NewsRoom [PR / Communications / Outreach]', 'date_added': '2021-02-10 00:00:01', 'date_added_human': '2 years ago', 'date_end': '2021-05-12 00:00:00', 'voting_deadline': '2021-02-27 18:04:04', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 200, 'total_payment_count': 3, 'remaining_payment_count': 0, 'yes': 812, 'no': 80, 'abstain': 4, 'order': 9, 'comment_amount': 40, 'owner_username': 'DASHPRESS'}",f46fb123aba261765b17fca0c06e50cb87d468e43be09e43746730309a883f89,2021-02-10 00:00:01,2021-02-27 18:04:04,True,812,80,4,896,200.0,2021
109,"{'hash': '389a25d0825de0ddd2bbcdfcf4e30efd23f6f24c36312b107bbd78b56b317292', 'name': 'DCG-Legal-EndFeb-EndApril', 'url': 'www.dashcentral.org/p/dcg-legal-endfeb-endapril', 'dw_url': 'https://www.dashcentral.org/p/DCG-Legal-EndFeb-EndApril', 'dw_url_comments': 'https://www.dashcentral.org/p/DCG-Legal-EndFeb-EndApril#comments', 'title': 'Dash Core Group Legal (Cycle Ending February 27th)', 'date_added': '2021-02-07 05:20:01', 'date_added_human': '2 years ago', 'date_end': '2021-03-13 20:55:53', 'voting_deadline': '2021-02-27 18:04:04', 'voting_deadline_human': 'passed', 'will_be_funded': True, 'remaining_yes_votes_until_funding': '0', 'in_next_budget': True, 'monthly_amount': 266, 'total_payment_count': 1, 'remaining_payment_count': 0, 'yes': 845, 'no': 50, 'abstain': 4, 'order': 10, 'comment_amount': 6, 'owner_username': 'glennaustin'}",389a25d0825de0ddd2bbcdfcf4e30efd23f6f24c36312b107bbd78b56b317292,2021-02-07 05:20:01,2021-02-27 18:04:04,True,845,50,4,899,266.0,2021
